DBA,BORO,ZIPCODE,Latitude,Longitude,STREET,CUISINE DESCRIPTION
SEROTONIN SMOOTHIE,Manhattan,10002,40.71931485,-73.9887554,LUDLOW STREET,"Juice, Smoothies, Fruit Salads"
HUDSON BAR AND BOOKS,Manhattan,10014,40.73865489,-74.00549944,HUDSON STREET,American
BROOKLYN ROASTING WORKS LLC.,Manhattan,10003,40.73660979,-73.99067938,UNION SQUARE WEST,
FERRIS BOOTH COMMONS - ALFRED LERNER HALL,Manhattan,10027,40.80704062,-73.96458881,BROADWAY,American
DUNKIN,Manhattan,10028,40.77827285,-73.95648367,LEXINGTON AVENUE,Donuts
JOHN SULLIVAN'S PUB,Manhattan,10001,40.7519091,-73.99076746,WEST   35 STREET,Irish
Peasant,Manhattan,10012,40.72178556,-73.99450195,ELIZABETH STREET,Italian
SUBWAY,Manhattan,10019,40.76852846,-73.98896728,10 AVENUE,Sandwiches
LA BAKER EXPRESS CAFE,Manhattan,10001,40.74828615,-73.99260138,7 AVENUE,Bakery Products/Desserts
KILLARNEY ROSE,Manhattan,10005,40.70533871,-74.00869226,BEAVER STREET,Irish
THE BEST SICHUAN,Manhattan,10018,40.75222947,-73.98380869,WEST   39 STREET,Chinese
BROADSTONE BAR & KITCHEN,Manhattan,10004,40.70404841,-74.01158826,BROAD STREET,American
LE PAIN QUOTIDIEN,Manhattan,10023,40.77246063,-73.98085045,WEST   65 STREET,French
LA CONTENTA OESTE,Manhattan,10011,40.73497426,-73.99732621,WEST   11 STREET,Mexican
BRASSERIE TOAST CAFE,Manhattan,10018,40.75079437,-73.98703568,AVENUE OF THE AMERICAS,American
ANDAZ 5TH AVENUE,Manhattan,10017,40.75300584,-73.98121339,5 AVENUE,American
ROMEO & JULIET COFFEE HOUSE,Manhattan,10036,40.76041271,-73.9973324,WEST   42 STREET,Coffee/Tea
THE ELGIN,Manhattan,10036,40.75823173,-73.98039613,WEST   48 STREET,American
AMITY HALL,Manhattan,10012,40.72975649,-73.99878408,WEST    3 STREET,American
SUBWAY,Manhattan,10004,40.70308779,-74.01102906,WATER STREET,Sandwiches
RANCHO TEQUILERIA,Manhattan,10019,40.76357691,-73.98888868,9 AVENUE,Mexican
BB.Q CHICKEN,Manhattan,10001,40.74752803,-73.98637226,WEST   32 STREET,Korean
